t,x,y
518187,224,96
518187,240,160
518187,240,352
518187,336,384
518190,208,144
518190,240,192
518190,240,208
518190,400,416
518190,640,160
518214,224,272
518214,240,400
518214,256,384
518214,272,176
518214,272,368
518214,304,224
518214,624,160
518214,624,256
518214,672,144
518214,752,256
518217,96,224
518217,144,208
518217,144,272
518217,240,240
518217,272,224
518217,288,192
518217,672,208
518217,704,160
518217,704,272
518220,96,304
518220,128,240
518220,192,368
518220,224,144
518220,224,416
518220,256,160
518220,256,384
518220,272,208
518220,288,272
518220,288,336
518220,512,464
518220,624,192
518220,672,224
518223,128,192
518223,256,112
518223,256,272
518223,272,128
518223,272,256
518223,352,432
518223,528,432
518223,672,272
518226,176,320
518226,208,96
518226,272,160
518226,544,384
518226,544,608
518229,224,368
518229,240,208
518229,240,272
518229,352,368
518229,736,176
518232,144,336
518232,160,288
518232,176,112
518232,176,400
518232,208,128
518232,208,304
518232,224,96
518232,256,144
518232,304,288
518232,560,608
518232,576,448
518232,640,160
518235,64,416
518235,128,192
518235,192,144
518235,192,288
518235,208,160
518235,240,192
518235,240,288
518235,288,352
518235,304,192
518235,416,384
518235,592,448
518238,96,304
518238,112,288
518238,112,368
518238,160,304
518238,208,144
518238,224,224
518238,240,224
518238,256,112
518238,256,400
518238,288,368
518238,656,128
518238,672,176
518241,96,352
518241,144,256
518241,160,144
518241,208,240
518241,256,336
518241,256,368
518241,272,272
518241,400,464
518241,544,416
518241,624,240
518241,688,256
518241,704,208
518241,752,192
518244,208,208
518244,208,240
518244,224,144
518244,240,400
518244,272,192
518244,272,368
518244,304,224
518244,320,304
518244,384,448
518244,576,448
518244,672,208
518244,688,192
518247,112,320
518247,208,160
518247,240,416
518247,256,144
518247,256,224
518247,352,352
518247,352,416
518247,464,400
518247,624,128
518247,624,160
518247,656,112
518247,688,176
518247,736,176
518247,752,176
518250,80,368
518250,208,144
518250,208,272
518250,208,368
518250,256,320
518250,272,288
518250,272,336
518250,304,256
518250,320,368
518250,384,368
518250,464,368
518250,576,432
518250,640,272
518253,64,416
518253,128,208
518253,176,96
518253,176,288
518253,192,96
518253,208,128
518253,272,368
518253,288,192
518253,432,384
518253,592,400
518253,624,112
518253,624,192
518256,160,256
518256,160,288
518256,176,112
518256,208,192
518256,208,208
518256,224,320
518256,304,208
518256,320,384
518256,368,480
518256,432,480
518256,592,448
518256,624,272
518256,688,208
518256,704,224
518259,208,224
518259,224,112
518259,256,416
518259,272,304
518259,576,432
518259,624,208
518259,624,272
518259,704,224
518262,48,416
518262,144,192
518262,176,320
518262,192,192
518262,192,272
518262,208,176
518262,224,112
518262,256,368
518262,272,384
518262,304,384
518262,368,480
518262,400,400
518262,496,448
518262,544,416
518262,544,480
518262,576,432
518262,640,256
518262,704,272
518265,112,336
518265,192,192
518265,240,160
518265,240,176
518265,528,560
518265,624,240
518265,688,128
518265,688,224
518265,704,208
518268,32,448
518268,144,192
518268,144,384
518268,160,192
518268,176,192
518268,192,224
518268,192,416
518268,240,224
518268,640,272
518268,656,208
518268,656,288
518268,704,144
518268,720,176
518271,112,400
518271,176,160
518271,176,192
518271,192,256
518271,352,432
518271,416,448
518271,544,496
518274,48,512
518274,160,208
518274,192,240
518274,208,304
518274,224,144
518274,224,224
518274,240,400
518274,640,208
518274,704,256
518277,176,128
518277,176,224
518277,192,176
518277,192,240
518277,208,336
518277,256,112
518277,368,432
518277,528,400
518280,112,208
518280,192,112
518280,208,416
518280,224,320
518280,544,480
518280,560,496
518283,112,288
518283,144,416
518283,176,144
518283,176,272
518283,192,192
518283,224,144
518283,528,592
518283,640,240
518283,704,256
518286,80,336
518286,96,432
518286,192,288
518286,224,272
518286,384,496
518286,464,528
518286,480,432
518286,496,416
518286,528,432
518289,96,384
518289,176,256
518289,176,320
518289,192,304
518289,208,320
518289,224,272
518289,240,352
518289,304,384
518289,448,448
518289,528,592
518289,688,256
518292,96,272
518292,112,272
518292,144,416
518292,192,224
518292,208,320
518292,224,272
518292,224,320
518292,256,176
518292,256,224
518292,256,240
518292,256,336
518292,272,288
518292,304,400
518292,320,288
518292,384,464
518292,448,512
518292,480,576
518292,576,400
518292,576,480
518292,688,160
518295,128,256
518295,144,416
518295,176,320
518295,224,144
518295,224,160
518295,224,192
518295,240,288
518295,256,112
518295,272,240
518295,272,352
518295,272,384
518295,288,256
518295,304,208
518295,320,320
518295,352,336
518295,352,432
518295,464,512
518295,496,416
518295,560,576
518298,112,336
518298,128,256
518298,128,336
518298,160,128
518298,160,368
518298,176,192
518298,176,384
518298,208,160
518298,208,304
518298,240,144
518298,240,384
518298,256,160
518298,288,352
518298,304,304
518298,352,352
518298,352,384
518298,384,432
518298,512,432
518298,528,384
518298,560,512
518298,576,384
518298,576,480
518298,576,624
518325,80,320
518325,96,240
518325,112,304
518325,112,336
518325,144,400
518325,176,352
518325,224,240
518325,256,160
518325,496,560
518325,560,576
518325,576,432
518325,624,208
518325,656,240
518328,64,384
518328,144,272
518328,208,256
518328,224,192
518328,240,288
518328,272,288
518328,288,416
518328,336,352
518328,336,400
518328,368,464
518328,400,480
518328,480,416
518328,496,592
518328,528,576
518328,544,672
518328,656,112
518328,656,272
518331,128,320
518331,144,272
518331,176,192
518331,176,272
518331,224,416
518331,240,304
518331,272,320
518331,272,352
518331,288,352
518331,304,288
518331,304,416
518331,368,416
518331,384,384
518331,400,432
518331,400,496
518331,432,496
518331,704,144
518331,752,256
518331,768,208
518334,96,400
518334,112,224
518334,176,176
518334,176,256
518334,176,304
518334,192,352
518334,224,256
518334,224,416
518334,256,112
518334,256,304
518334,304,400
518334,320,400
518334,416,496
518334,432,480
518334,448,528
518334,528,560
518334,624,288
518334,640,208
518334,672,256
518334,704,224
518337,112,240
518337,144,400
518337,176,288
518337,240,288
518337,240,352
518337,240,368
518337,352,368
518337,352,416
518337,400,464
518337,432,512
518337,512,384
518337,512,448
518337,560,624
518340,80,256
518340,112,272
518340,112,320
518340,144,400
518340,160,336
518340,224,304
518340,240,224
518340,256,352
518340,272,160
518340,336,400
518340,368,432
518340,400,496
518340,416,464
518340,464,608
518340,480,416
518340,560,464
518340,576,416
518340,576,432
518343,64,480
518343,160,368
518343,176,304
518343,240,112
518343,272,320
518343,288,208
518343,352,400
518343,400,480
518343,416,496
518343,464,480
518343,480,400
518343,496,464
518343,512,592
518343,544,608
518343,560,528
518343,640,112
518343,640,144
518346,0,544
518346,32,432
518346,112,416
518346,176,256
518346,192,304
518346,208,304
518346,224,352
518346,224,368
518346,256,384
518346,288,208
518346,304,384
518346,480,544
518346,496,448
518346,496,672
518346,512,480
518346,512,576
518346,560,464
518346,688,192
518349,128,384
518349,160,128
518349,160,368
518349,160,416
518349,176,272
518349,208,208
518349,224,176
518349,224,224
518349,224,288
518349,288,384
518349,304,240
518349,416,528
518349,432,416
518349,448,560
518349,496,480
518349,496,576
518349,560,512
518349,704,176
518352,96,320
518352,128,352
518352,128,368
518352,144,304
518352,240,256
518352,240,368
518352,288,400
518352,320,320
518352,432,368
518352,496,400
518352,496,608
518352,656,208
518355,80,384
518355,112,288
518355,192,304
518355,224,176
518355,224,224
518355,224,400
518355,256,384
518355,272,192
518355,272,240
518355,272,256
518355,416,384
518355,448,496
518355,496,560
518355,512,384
518355,560,544
518355,576,640
518358,80,384
518358,80,464
518358,160,176
518358,160,288
518358,160,336
518358,176,352
518358,192,144
518358,192,272
518358,240,176
518358,240,304
518358,256,384
518358,336,416
518358,368,432
518358,400,432
518358,400,512
518358,544,528
518358,656,128
518361,96,288
518361,176,368
518361,208,288
518361,240,416
518361,272,352
518361,288,384
518361,448,464
518361,512,416
518361,512,528
518361,560,608
518361,576,464
518364,80,448
518364,112,400
518364,192,112
518364,208,368
518364,256,176
518364,256,224
518364,272,384
518364,288,192
518364,288,400
518364,304,304
518364,384,480
518364,400,416
518364,576,544
518364,592,432
518364,656,224
518364,672,160
518364,704,144
518367,64,480
518367,96,256
518367,112,416
518367,128,240
518367,176,144
518367,192,368
518367,224,96
518367,224,256
518367,224,352
518367,464,528
518367,656,112
518367,784,208
518370,80,320
518370,112,368
518370,176,208
518370,192,208
518370,192,400
518370,208,256
518370,256,272
518370,304,256
518370,480,448
518370,560,608
518370,656,144
518370,656,192
518373,80,256
518373,160,192
518373,160,224
518373,160,288
518373,160,336
518373,176,400
518373,208,224
518373,208,304
518373,224,400
518373,256,160
518373,304,208
518373,512,384
518373,512,448
518373,560,512
518373,624,128
518373,656,128
518373,688,224
518376,80,416
518376,112,256
518376,112,304
518376,144,400
518376,160,144
518376,160,224
518376,160,400
518376,176,160
518376,208,304
518376,256,144
518376,256,304
518376,288,160
518376,432,432
518376,448,464
518376,496,448
