ae,domain,latent_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
10pct,belgium,0,179083327,19702252.660455346,18913138.36642181,-789114.2940335348,5465095.984423012,-116401.34331256695,1235588.59562515,0.1100172360571308,0.10561082755862478,-0.004406408498506032,0.030517056366855477,-0.0006499842573986072,0.006899517762617566
10pct,belgium,1,179083317,19507591.373604298,18150202.994056776,-1357388.3795475215,5413891.548838586,-246769.16761210302,1243325.759322367,0.10893025492488671,0.10135060762838549,-0.007579647296501223,0.030231132857778068,-0.001377957320346613,0.006942722416306188
10pct,belgium,2,179083265,19258386.194742084,17920514.916670546,-1337871.2780715376,5390591.56968683,-242688.80943889485,1237852.6131221973,0.10753872616038178,0.10006806005391149,-0.007470666106470293,0.030101034676170497,-0.0013551730221073133,0.006912162412954652
10pct,belgium,3,179083334,19259811.766829967,17921485.152437244,-1338326.614392724,5405031.305170152,-239099.08894623112,1233744.4233362433,0.10754664511009142,0.10007343928741713,-0.007473205822674286,0.030181654453507952,-0.0013351275275354832,0.006889219648637116
10pct,belgium,4,179083485,19111492.094899476,18200607.901983496,-910884.1929159798,5317483.970403213,-155735.21933144127,1227840.891929163,0.10671833918632684,0.10163197294258315,-0.005086366243743692,0.029692765753375934,-0.0008696235687586785,0.0068562485922650145
10pct,radclim_valid,0,1894785733,152326166.83856052,151159423.4563671,-1166743.3821934238,45064873.307780564,-446769.7736836105,9976327.92307755,0.08039229142673755,0.07977652608616465,-0.0006157653405729036,0.023783624988789467,-0.0002357890741430923,0.005265148322223276
10pct,radclim_valid,1,1895408103,153627011.173858,147037835.827545,-6589175.346312996,45215060.87588312,-1523925.9015416799,10036983.209802708,0.0810522076647775,0.07757581894622985,-0.0034763887185476467,0.02385505306446562,-0.0008040093841160918,0.0052954206505271585
10pct,radclim_valid,2,1895758276,152877591.98777497,146390732.7508817,-6486859.236893278,44940840.94372615,-1513095.6571252286,9999374.327658378,0.08064192250836043,0.07722014700089418,-0.003421775507466268,0.023705997495920283,-0.0007981479897942582,0.005274604074922882
10pct,radclim_valid,3,1895544660,153116118.024023,146649349.752129,-6466768.271894004,44949151.90646221,-1510999.1473005514,10007918.391510012,0.08077684543925386,0.07736528336511417,-0.003411562074139685,0.023713053485356662,-0.0007971319163224313,0.005279705935026618
10pct,radclim_valid,4,1896565481,152297255.1064582,149394818.06033307,-2902437.0461251214,44115850.95418776,-905980.2104520007,10047025.820879992,0.08030160657893899,0.07877124178257311,-0.0015303647963658795,0.023260916322766164,-0.0004776951914016201,0.005297484279626616
