ae,domain,lead_index,lead_min,position_in_block,latent_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
10pct,belgium,0,5,0,0,44770844,4915617.490610838,5151107.354333583,235489.86372274533,1663898.9894623943,53000.34715927974,333742.4100531121,0.10979505971812455,0.11505495304787158,0.005259893329747041,0.03716478942104362,0.0011838138936866981,0.007454458755638203
10pct,belgium,1,10,1,0,44770819,4936011.055288196,4444878.31262641,-491132.74266178533,1072348.027482625,-83519.77502556333,288283.97081526497,0.11025063122674159,0.09928070140120533,-0.010969929825536257,0.023951941274128245,-0.0018654958048804808,0.0064391042481323595
10pct,belgium,2,15,2,0,44770843,4932863.670169055,4973336.573653419,40472.90348436311,1632952.819864627,9693.295225337992,327813.31827248645,0.11018027224032961,0.11108427361203403,0.0009040013717044173,0.03647357767787904,0.0002165091067268488,0.007322026933298675
10pct,belgium,3,20,3,0,44770821,4917760.444387257,4343816.125808399,-573944.3185788579,1095896.1476133652,-95575.21067162136,285748.89648428647,0.10984298108777717,0.09702337434929771,-0.012819606738479464,0.02447791045898768,-0.0021347656472866863,0.006382480600127625
10pct,belgium,4,25,0,1,44770820,4912014.389466524,4800244.036361832,-111770.35310469195,1622758.5843157433,-21655.17602425668,334669.09550252126,0.10971463979142049,0.10721813976964979,-0.002496500021770697,0.03624589820592393,-0.000483689510807635,0.007475161176465414
10pct,belgium,5,30,1,1,44770829,4859205.914749086,4232374.516627438,-626831.3981216475,1093496.7413660735,-114024.35554993915,291468.4857699391,0.10853508910342237,0.09453420030769227,-0.014000888795730084,0.024424313013414908,-0.002546844856277715,0.0065102320479689816
10pct,belgium,6,35,2,1,44770834,4872208.989623249,4841128.4434803575,-31080.54614289105,1612650.5975353792,-8336.09192691189,328139.11053166026,0.10882551327105608,0.10813129912836462,-0.0006942141426914462,0.03602011518336646,-0.00018619469824734312,0.007329305291289867
10pct,belgium,7,40,3,1,44770834,4864162.079765439,4276455.997587148,-587706.0821782909,1084985.6256213896,-102753.5441109953,289049.0675182462,0.1086457777347958,0.0955187923813782,-0.013126985353417605,0.024234206260740857,-0.0022951000669541983,0.006456191267695531
10pct,belgium,8,45,0,2,44770819,4819321.61770165,4722004.476661172,-97317.1410404779,1603394.191992145,-19517.022592944253,330298.63145789015,0.10764425858954355,0.1054705851295946,-0.0021736734599489436,0.03581337638679661,-0.00043593177495690336,0.007377542757435154
10pct,belgium,9,50,1,2,44770802,4816416.674149513,4188240.8982923366,-628175.7758571766,1093151.5320234187,-113769.82669333271,292018.9664705829,0.10757941468525654,0.09354848944390892,-0.014030925241347622,0.02441661715203178,-0.0025411612392677867,0.006522531503245862
