ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,0,5,0,0,belgium,30665,462.07436764240265,905.3293220810592,443.25495443865657,702.7640633545816,48.08198256511241,150.93908169399947
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,0,5,0,0,radclim_valid,327252,3950.2644607424736,9274.096475869417,5323.832015126944,6936.954259835184,565.2637158792932,1437.283160957275
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,1,10,1,0,belgium,30665,435.7556835412979,367.40112505480647,-68.35455848649144,172.68150395527482,-25.358023611130193,96.56208909978159
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,1,10,1,0,radclim_valid,327267,3854.268631696701,3493.9890013486147,-360.27963034808636,1148.0904507488012,-234.36476474558003,769.1679998983163
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,2,15,2,0,belgium,30665,492.00582522153854,725.2595663405955,233.25374111905694,523.6681687049568,17.55142535251798,130.55400127003668
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,2,15,2,0,radclim_valid,327261,3893.8635159134865,6356.827162347734,2462.9636464342475,4199.602924883366,159.22471970618062,1056.3390868145943
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,3,20,3,0,belgium,30665,763.6062635183334,592.1217432767153,-171.48452024161816,314.67204470187426,-30.22709661256522,108.2568280659616
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,3,20,3,0,radclim_valid,327278,6585.840327560902,5980.21336036548,-605.6269671954215,1833.4449190162122,-220.23863814605284,821.5659985337115
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,4,25,0,1,belgium,30665,813.4904437065125,1095.8691534139216,282.37870970740914,778.0470222570002,25.85220891959034,165.4683964930009
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,4,25,0,1,radclim_valid,327261,4306.714969575405,8256.07514417544,3949.360174600035,5974.505457531661,406.5652116901474,1348.233672440867
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,5,30,1,1,belgium,30665,715.7694547772408,548.276321426034,-167.49313335120678,309.02000591903925,-50.07941297441721,111.83402671664953
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,5,30,1,1,radclim_valid,327261,4041.619064092636,3457.815375190228,-583.8036889024079,1352.820796545595,-405.03761577105615,878.0557047786424
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,6,35,2,1,belgium,30665,818.1345146894455,1108.429327942431,290.2948132529855,893.9712124541402,37.337645314168185,163.95188520709053
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,6,35,2,1,radclim_valid,327257,4249.338045239449,9722.472171995789,5473.13412675634,7542.92946517095,569.6583404890844,1500.9806373691536
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,7,40,3,1,belgium,30665,827.1061264276505,623.4023867323995,-203.703739695251,372.5601215958595,-33.400199599098414,106.29046488320455
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,7,40,3,1,radclim_valid,327261,4228.052787125111,3731.307970620692,-496.74481650441885,1453.9555092975497,-180.7391595847439,746.9377464719582
10pct,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_10pct_crop256_b32/epoch029.ckpt,1,420768,8,45,0,2,belgium,30665,669.3831166625023,959.6120894104242,290.22897274792194,681.9922947436571,27.833194129052572,148.70311494765338
