ae,domain,latent_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
full,belgium,0,179083327,19702252.660455346,23236044.265649877,3533791.6051945314,9326991.894733958,1702627.3560892886,4704170.792485989,0.1100172360571308,0.1297499027681671,0.019732666711036316,0.05208185513961307,0.009507458816025284,0.026268055610146158
full,belgium,1,179083317,19507591.373604298,21167818.410981845,1660227.0373775475,7826186.279284943,565787.7993526186,4902821.53748855,0.10893025492488671,0.11820095118621153,0.00927069626132482,0.04370136990083193,0.003159355147261532,0.027377321459198512
full,belgium,2,179083265,19258386.194742084,20921059.289713986,1662673.0949719027,7802778.135981031,569518.7503450407,4898972.375683682,0.10753872616038178,0.11682308388622457,0.009284357725842796,0.04357067164249563,0.003180189675149382,0.027355835709627487
full,belgium,3,179083334,19259811.766829967,20926553.926411908,1666742.1595819406,7822895.027855311,574907.4090701262,4895444.5760751255,0.10754664511009142,0.11685372088511546,0.009307075775024048,0.043682987428943616,0.0032102786799252142,0.027336125962872264
full,belgium,4,179083485,19111492.094899476,22533623.34012618,3422131.2452267036,9110743.500401616,1511329.4620345256,3815656.1252564774,0.10671833918632684,0.12582747839716307,0.01910913921083624,0.050874280788100676,0.008439245316420582,0.02130657734997997
full,radclim_valid,0,1894785733,152326166.83856052,196498053.93454382,44171887.0959833,86464587.182078,18712938.333494123,47541980.24180545,0.08039229142673755,0.10370463029792289,0.023312338871185334,0.045632910189364405,0.009876018173234854,0.02509095324806599
full,radclim_valid,1,1895408103,153627011.173858,178206064.05717644,24579052.883318465,70774397.81560948,6655325.589837104,49702328.71135948,0.0810522076647775,0.09401989142872016,0.012967683763942665,0.03733992574136921,0.003511288982727908,0.026222494581875002
full,radclim_valid,2,1895758276,152877591.98777497,177534650.995431,24657059.007656038,70480003.48942976,6664657.9123480385,49657790.97613617,0.08064192250836043,0.09364835867683745,0.013006436168477018,0.03717773746879835,0.003515563137305823,0.02619415755942936
full,radclim_valid,3,1895544660,153116118.024023,177886994.85963047,24770876.83560746,70466815.21290278,6710155.952675034,49632282.886026576,0.08077684543925386,0.09384479227180564,0.013067946832551792,0.037174969653789525,0.003539961940371816,0.02618365261097387
full,radclim_valid,4,1896565481,152297255.1064582,195306776.23443985,43009521.12798165,84916737.49076605,16554605.12623318,37978987.967702925,0.08030160657893899,0.10297918958825543,0.022677583009316434,0.044773954994684444,0.008728728478968441,0.02002513931007422
