ae,domain,lead_index,lead_min,position_in_block,latent_block,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm,obs_mean_rr,rec_mean_rr,bias_rr,mae_rr,bias_norm,mae_norm
full,belgium,0,5,0,0,44770844,4915617.490610838,6088771.474818289,1173153.9842074513,2598804.441267453,396254.31980027095,670756.6560991715,0.10979505971812455,0.13599858592833963,0.026203526210215097,0.0580468047747202,0.00885072257740486,0.014981997125164124
full,belgium,1,10,1,0,44770819,4936011.055288196,6456402.7087107785,1520391.653422583,2720901.0269189216,971464.472853465,1188782.0724799936,0.11025063122674159,0.14421006479043366,0.033959433563692076,0.06077398376203307,0.02169860848097206,0.026552609468234064
full,belgium,2,15,2,0,44770843,4932863.670169055,4095682.7267341837,-837180.9434348717,1216602.7998279333,-1076834.0538347205,1228773.2709121527,0.11018027224032961,0.09148102765753559,-0.018699244582794025,0.027173998037694606,-0.024052128163740864,0.027445837258685362
full,belgium,3,20,3,0,44770821,4917760.444387257,6595187.355386626,1677426.9109993689,2790683.62671965,1411742.6172702732,1615858.792994671,0.10984298108777717,0.14730994893720234,0.03746696784942516,0.06233264354744913,0.0315326497423461,0.03609178382041891
full,belgium,4,25,0,1,44770820,4912014.389466524,4137329.822850812,-774684.5666157119,1184143.1748959683,-722421.6593006239,892963.3470678547,0.10971463979142049,0.09241130322944302,-0.017303336561977464,0.026448994566013493,-0.016135993472994777,0.019945208666445124
full,belgium,5,30,1,1,44770829,4859205.914749086,6404344.974110194,1545139.0593611076,2678556.287014231,949846.2030438108,1167972.505343931,0.10853508910342237,0.1430472724574788,0.034512183354056446,0.05982815924659852,0.02121573855699234,0.026087801620647475
full,belgium,6,35,2,1,44770834,4872208.989623249,4061457.7006689273,-810751.2889543213,1186090.16760071,-1074671.342491487,1227647.5619528973,0.10882551327105608,0.09071659689584803,-0.018108916375208048,0.02649247426573983,-0.024003826743354547,0.02742069897453546
full,belgium,7,40,3,1,44770834,4864162.079765439,6564685.913351912,1700523.833586473,2777396.6497740336,1413034.5981009188,1614238.123123867,0.1086457777347958,0.14662862687239447,0.03798284913759867,0.06203584793113377,0.03156149823121273,0.036055574107104346
full,belgium,8,45,0,2,44770819,4819321.61770165,4061168.1621958315,-758153.4555058181,1161066.5977715254,-719841.5972389403,888110.4493857787,0.10764425858954355,0.09071016016472318,-0.016934098424820375,0.025933557252359518,-0.016078365625586174,0.019836814899137287
full,belgium,9,50,1,2,44770802,4816416.674149513,6354204.159689292,1537787.485539779,2679003.1463111937,949712.9734775657,1169010.8505191465,0.10757941468525654,0.1419274142037771,0.03434799951852056,0.05983817637019756,0.02121277553789556,0.026111009816602047
full,belgium,10,55,2,2,44770814,4821260.081445217,4009133.2954177223,-812126.7860274948,1191258.5946088545,-1074365.6780261598,1229131.258866793,0.10768756809838698,0.08954792055864166,-0.01813964753974531,0.026607927982029867,-0.023997010150991666,0.027453851048292153
full,belgium,11,60,3,2,44770830,4801387.8214457035,6496553.67241114,1695165.8509654365,2771449.797289457,1414013.052132575,1612719.8169119633,0.10724366337290829,0.1451068401548763,0.037863176781968,0.06190302474377753,0.03158335577277828,0.036021664483592626
full,belgium,12,65,0,3,44770816,4818534.066891789,4061586.479003411,-756947.5878883786,1167338.1722665913,-719608.8255968394,888951.7340550586,0.10762667508431809,0.09071950975839732,-0.016907165325920764,0.026073640745493478,-0.016073167520485654,0.01985560714495484
full,belgium,13,70,1,3,44770813,4824824.308394074,6362487.446540229,1537663.1381461546,2687629.890789613,950076.7952803681,1169918.8778088766,0.10776718100683305,0.14211239466525277,0.03434521365841971,0.06003084846347582,0.02122089664264904,0.026131285080949425
full,belgium,14,75,2,3,44770853,4810657.175751686,4001646.2147286907,-809010.9610229954,1188244.8835908696,-1070390.2541302897,1223031.9604975237,0.10745064820971104,0.08938061141539319,-0.018070036794317845,0.02654059067382231,-0.023908194336397605,0.027317593446288004
full,belgium,15,80,3,3,44770852,4805796.2157924175,6500833.786139578,1695037.57034716,2779682.0812082365,1414829.6935168873,1613542.0037136667,0.1073420763981087,0.14520236930357228,0.03786029290546358,0.062086870296956524,0.0316015807230313,0.03604001111512613
full,belgium,16,85,0,4,44770880,4779301.746061087,4003312.2052944526,-775989.540766634,1176355.9104677513,-720188.1813682073,887559.2256044247,0.10675023019563357,0.08941776898945146,-0.0173324612061821,0.02627502319516059,-0.016086085003649858,0.01982447576648984
full,belgium,17,90,1,4,44770875,4752414.905906498,6267427.76966399,1515012.863757491,2671167.290209636,951607.6505922559,1168625.7955313374,0.10614969901540898,0.1399889497282327,0.03383925071282371,0.059663057516960216,0.02125506036217197,0.026102366673229804
full,belgium,18,95,2,4,44770875,4770223.430993974,5973861.302856069,1203637.8718620948,2578016.6491966806,403010.78400136845,668163.536352507,0.10654746933121084,0.13343186397085313,0.026884394639642286,0.05758244950979137,0.00900162849176766,0.014924066959881998
full,belgium,19,100,3,4,44770855,4809552.011937916,6289022.062311668,1479470.0503737517,2685203.650527548,876899.2088091086,1091307.5677682084,0.10742595851559941,0.14047134150803392,0.033045382992434515,0.05997659974390813,0.019586385134014273,0.024375401536741
full,radclim_valid,0,5,0,0,473552796,38017431.17491704,52330545.06185836,14313113.886941321,24673226.96094355,4376267.054317033,6408272.756381644,0.08028129386214634,0.11050625295401775,0.0302249590918714,0.05210237838178354,0.009241349837404472,0.013532330102389774
full,radclim_valid,1,10,1,0,473669320,38072376.20359129,55361527.22702581,17289151.023434516,25899266.732109297,10422987.019861016,12002699.11835555,0.08037754314252671,0.11687800938221164,0.03650046623968493,0.05467794859947716,0.02200477544093634,0.025339828043656174
full,radclim_valid,2,15,2,0,473763054,38053270.03952813,31895705.43628111,-6157564.60324702,9098771.988342684,-11271492.286626903,12450266.337341094,0.08032131192637941,0.06732417221432617,-0.012997139712053234,0.01920532196742949,-0.02379141258791975,0.02627952144478766
full,radclim_valid,3,20,3,0,473800563,38183089.42052406,56910276.20937854,18727186.788854484,26793321.500682477,15185176.545942977,16680742.029727159,0.08058894902690114,0.12011441237856559,0.03952546335166445,0.05654978822953082,0.032049722460846836,0.03520625202323189
full,radclim_valid,4,25,0,1,473706375,38358715.23761487,32651028.122342184,-5707687.115272686,8979012.77433499,-7472712.625114585,8789617.16806207,0.08097572095713272,0.068926723062028,-0.012048997895104717,0.018954806707710003,-0.015774988515015416,0.018554990246990175
full,radclim_valid,5,30,1,1,473935132,38194572.467327654,55647259.57400958,17452687.106681928,25803115.07073371,10196027.416921085,11800677.146148859,0.08059029577770921,0.1174153503648883,0.03682505458717909,0.05444440246884612,0.02151355054413034,0.024899350880256875
full,radclim_valid,6,35,2,1,473916075,38531502.46688104,32448370.15309715,-6083132.313783888,9108925.944385182,-11255826.039588317,12445804.328774858,0.08130448511771,0.0684685999585415,-0.012835885159168505,0.019220546474151952,-0.023750673660074342,0.026261620960578005
full,radclim_valid,7,40,3,1,473850521,38542221.002034426,57459406.20772754,18917185.20569311,26883344.026155606,15187836.837618921,16666230.068373693,0.08133835311755291,0.1212606162940729,0.039922263176519986,0.05673380704409019,0.03205195766286584,0.035171914622361876
full,radclim_valid,8,45,0,2,474196747,38294045.14143026,32642412.975899093,-5651632.165531166,8898613.658742547,-7461982.0461562285,8761552.135873334,0.0807556048912125,0.06883727731666428,-0.01191832757454822,0.018765657324811946,-0.015736046468822,0.01847661796775956
full,radclim_valid,9,50,1,2,473790580,38161875.90205729,55598485.09239808,17436609.190340783,25781031.18678571,10192572.13973203,11799433.943415523,0.08054587303541849,0.1173482281821603,0.0368023551467418,0.054414402217084414,0.021512821423617223,0.024904323643191728
full,radclim_valid,10,55,2,2,473950307,38263184.514329135,32199476.701893393,-6063707.8124357425,9057755.355170157,-11258498.3110088,12451832.111315072,0.08073248175853409,0.06793850795394335,-0.012793973804590747,0.019111192083625248,-0.02375459651513381,0.026272442337114198
full,radclim_valid,11,60,3,2,473820642,38158486.429958284,57094276.22524045,18935789.795282163,26742603.288731344,15192566.129781038,16644972.78553224,0.08053360923426861,0.12049765494437967,0.03996404571011105,0.05644035088013608,0.03206396003697331,0.035129268989366316
full,radclim_valid,12,65,0,3,473981576,38111616.53314,32499316.181531765,-5612300.351608239,8847002.781748421,-7459367.854194747,8763432.690141262,0.08040737965971066,0.06856662331856495,-0.011840756341145713,0.018665288335486738,-0.01573767469433189,0.01848897327211989
full,radclim_valid,13,70,1,3,473731145,38344630.956489325,55786012.33163714,17441381.375147812,25797887.72399766,10190216.340605212,11803219.505320005,0.08094175643969814,0.11775880247780023,0.03681704603810208,0.05445681162465613,0.02151054759257007,0.02491543912596248
full,radclim_valid,14,75,2,3,473773542,38287985.07643622,32275580.191863768,-6012404.884572454,9006563.26648271,-11217681.808870554,12400502.089993248,0.08081494993326627,0.06812448845415638,-0.012690461479109894,0.019010270663199488,-0.023677307435776045,0.026173901644328732
full,radclim_valid,15,80,3,3,474058397,38371885.45795745,57326086.15459779,18954200.696640342,26815361.440674,15196989.275135124,16665128.600572063,0.08094337259035504,0.12092621187047087,0.039982839280115826,0.05656552359449926,0.0320572093465842,0.03515416814897609
full,radclim_valid,16,85,0,4,474181317,38165896.369740725,32346334.74385515,-5819561.625885576,8950706.28260354,-7473765.16387594,8769594.928834505,0.08048798002250418,0.06821511852997605,-0.012272861492528134,0.018876125991702748,-0.01576140791703934,0.01849418063182465
full,radclim_valid,17,90,1,4,474155137,37955650.7070331,55198021.38171055,17242370.674677454,25678880.748878337,10213540.38933653,11828858.02660905,0.08004901296056843,0.11641342057570189,0.03636440761513347,0.05415712863800174,0.02154050350262583,0.024947231620120674
full,radclim_valid,18,95,2,4,474042905,38067329.931266725,52603991.55536261,14536661.624095887,24608601.27396992,4419953.726606182,6407952.36967013,0.08030355381284891,0.11096884058493105,0.03066528677208213,0.05191218139625973,0.00932395291646899,0.013517663279171177
full,radclim_valid,19,100,3,4,474186122,38108378.09841764,55158428.55351152,17050050.455093883,25678549.185314246,9394876.174166407,10972582.642589236,0.0803658654911407,0.11632231732313651,0.0359564518319958,0.054152890592850896,0.019812634192120888,0.023139822389380758
