ae,checkpoint,month,t_start,lead_index,lead_min,position_in_block,latent_block,domain,n,sum_obs_rr,sum_rec_rr,sum_err_rr,sum_abs_rr,sum_err_norm,sum_abs_norm
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,0,5,0,0,belgium,30665,462.07436764240265,1520.7063779458404,1058.6320103034377,1312.900977782905,292.5351075651124,394.33399725239724
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,0,5,0,0,radclim_valid,327252,3950.2644607424736,15799.980946525931,11849.716485783458,13310.993024133146,3220.933881894918,4056.9622391823214
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,1,10,1,0,belgium,30665,435.7556835412979,1594.497574530542,1158.741890989244,1371.790280520916,682.7779627169948,762.5193550840486
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,1,10,1,0,radclim_valid,327267,3854.268631696701,16645.33341780305,12791.064786106348,13965.547957591712,7240.29246181692,7908.248807389056
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,2,15,2,0,belgium,30665,492.00582522153854,345.34290412440896,-146.66292109712958,223.2725878022611,-729.195400819357,791.3064331600326
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,2,15,2,0,radclim_valid,327261,3893.8635159134865,3064.3307742737234,-829.5327416397631,1330.28028312698,-7661.638317403194,8113.007122418654
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,3,20,3,0,belgium,30665,763.6062635183334,1916.437767751515,1152.8315042331815,1556.9040192738175,997.8341826843098,1085.6199424993247
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,3,20,3,0,radclim_valid,327278,6585.840327560902,20209.813040662557,13623.972713101655,15335.699843157083,10707.599252478947,11368.016733570577
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,4,25,0,1,belgium,30665,813.4904437065125,582.0733549110591,-231.4170887954533,362.09113999828696,-483.87410943978466,558.3849395525176
full,/data/brussel/114/vsc11442/code/mlcast-ldcast/results/ldcast/autoenc_full_crop256_b32/epoch002.ckpt,1,420768,4,25,0,1,radclim_valid,327261,4306.714969575405,3460.628425180912,-846.0865443944931,1482.3769568651915,-4981.543675028603,5476.29388614872
